task_id,mode,task_type,difficulty,task_completed,tool_success,code_success,accuracy,experience_hit,error_recovered,response_time,has_error
1,ace,query,简单,True,True,True,True,False,False,9.87,False
2,ace,search,简单,True,True,True,True,True,False,6.98,False
3,ace,query+map,中等,True,True,True,True,False,False,8.41,False
4,ace,query+map,中等,True,True,True,True,True,False,10.54,False
5,ace,nearby,中等,True,True,True,False,True,True,10.75,False
6,ace,nearby,中等,True,True,True,True,False,False,5.36,False
7,ace,cluster,中等,True,True,True,True,True,False,17.13,False
8,ace,query+map,中等,True,True,True,True,False,False,18.38,False
9,ace,query,简单,True,True,True,True,True,False,7.57,False
10,ace,overlay,较难,True,True,True,False,False,False,36.08,False
11,ace,cluster,较难,True,True,True,True,True,False,8.92,False
12,ace,export,简单,True,True,True,True,True,False,5.81,False
13,ace,feedback,中等,True,True,True,True,False,False,3.67,False
14,ace,memory,中等,True,True,True,True,False,False,7.99,False
15,ace,help,简单,True,True,True,True,False,False,5.44,False
